PistonPositionCSR,P1Var,P2CSR,P3CSR,FaultType
301.966649290288,389725123.954072,13590376077.2656,13588499218.0629,2
272.57639690474,335519180.484067,13762651369.2389,13760978098.2817,0
273.260835644324,336753868.782337,13758566900.8337,13756888937.892,0
273.285344679978,336798111.966153,13758420708.5997,13756742577.9057,0
273.309858110547,336842311.304605,13758274491.2306,13756596191.5642,0
272.206538529834,282798398.882093,13612016400.9176,13610326926.4917,1
339.547780339321,462365827.239899,13378268211.3637,13376124680.0339,2
272.000661691634,279739942.051507,13601722562.3077,13600033084.5817,1
271.781775195009,276579476.678623,13590778233.9656,13589088759.7504,1
273.334376083857,336886529.149982,13758128253.6405,13756449786.2406,0
340.696575344858,464641555.666807,13371911343.2893,13369759547.624,2
271.548935349176,273321099.499778,13579136246.144,13577446767.4588,1
303.780166060368,393147173.735815,13579942441.0876,13578052876.9407,2
341.853328498748,466936228.589311,13365517512.4247,13363357386.7692,2
273.358898608577,336930876.74596,13757981997.8283,13756303362.3023,0
343.018123166333,469249952.073776,13359086344.4559,13356917826.3254,2
344.19104442516,471583233.912822,13352617488.4086,13350440511.0365,2
273.38342554578,336975146.344022,13757835716.6487,13756156912.69,0
271.301518893606,269958462.565424,13566765419.0451,13565075944.6803,1
271.038510567956,266497896.806821,13553615008.0666,13551925528.3978,1
345.372178165941,473936034.494616,13346110568.536,13343925065.5022,2
270.759155371495,262930952.476327,13539647242.024,13537957768.5747,1
273.407957024476,337019465.411398,13757689415.742,13756010443.8274,0
274.698145818432,331793782.511247,13736596765.9273,13734907290.9216,1
346.561611718223,476308819.620235,13339565214.3395,13337371117.6407,2
347.759433493945,478701601.535038,13332981040.9612,13330778283.9346,2
348.965733226925,481114689.260879,13326357663.539,13324146177.7553,2
273.432492891061,337063748.592679,13757543087.3438,13755863947.9184,0
350.180602045109,483548453.188035,13319694696.4258,13317474411.1094,2
270.462356098339,259266618.972628,13524807284.9825,13523117804.9169,1
273.457033334374,337108028.588226,13757396743.0124,13755717434.3958,0
273.481578209462,337152360.239598,13757250372.8236,13755570895.8992,0
351.40413225197,486002969.453798,13312991739.8133,13310762585.3019,2
273.506127632121,337196658.501693,13757103983.6208,13755424338.1852,0
304.695279265422,394877251.562689,13574685693.7916,13572789712.7324,2
352.636417589612,488478551.011795,13306248394.9273,13304010299.9717,2
270.147202695423,255494016.605647,13509049608.7382,13507360134.7711,1
273.530681404161,337241082.80615,13756957565.0933,13755277751.2183,0
353.877553108659,490975581.282529,13299464254.0919,13297217147.1133,2
269.812499060326,251624613.38098,13492314433.6034,13490624953.0163,1
355.127635114274,493494015.080295,13292638900.8668,13290382708.0645,2
356.386761642535,496034406.44645,13285771923.2144,13283506570.3127,2
357.655031862836,498596907.663442,13278862890.6954,13276588303.9992,2
273.555239831909,337285316.904929,13756811132.3327,13755131150.3358,0
269.457145960628,247646041.213953,13474546772.3429,13472857298.0314,1
274.668984078475,330953093.30081,13735138677.1839,13733449203.9237,1
273.57980278136,337329738.692865,13756664679.8429,13754984528.7295,0
273.604370095237,337374083.191436,13756518197.5771,13754837878.4242,0
269.079858285911,243569823.091372,13455682393.9646,13453992914.2956,1
273.628941981966,337418467.120409,13756371697.8119,13754691209.8309,0
268.679299337839,239386005.892868,13435654442.5831,13433964966.892,1
358.932546522654,501181693.107589,13271911374.6546,13269627477.5042,2
273.653518254077,337462854.290051,13756225170.3622,13754544513.4574,0
273.678099174744,337507282.509934,13756078626.9837,13754397802.464,0
360.219407982668,503789267.358597,13264916940.7766,13262623657.5437,2
268.254076776478,235103163.329881,13414393317.9926,13412703838.8239,1
305.616031475347,396620225.497971,13569402020.3572,13567499579.1328,2
273.702684520145,337551632.345592,13755932058.8072,13754251065.5325,0
361.515719823094,506419751.851016,13257879140.7025,13255576393.5134,2
273.727274378831,337596121.413399,13755785469.0971,13754104307.0454,0
267.802564130856,230714576.565313,13391817683.4656,13390128206.5428,1
