P1SigVar,P1SigCrestFactor,P1SigMAD,P2SigVar,P2SigSkewness,P2SigMAD,P3SigVar,P3SigSkewness,P3SigMAD,PistSigVar,PistSigPeak,PistSigPeak2Peak,PistSigMAD,fault_type
389725124.0,1.000749878,16844.99755,29668300000000.0,-1.50974838,4365260.932,29687800000000.0,-1.508975493,4367324.517,0.014660642,0.370370378,0.370370378,0.097051656,2
335519180.5,1.000668619,15396.67242,28522000000000.0,-1.598733754,4208164.863,28540000000000.0,-1.597998142,4210079.545,0.011197772,0.330132104,0.330132104,0.083392932,0
336753868.8,1.000670432,15430.85999,28549800000000.0,-1.596553978,4211996.779,28567900000000.0,-1.595817491,4213912.275,0.011271778,0.331059418,0.331059418,0.083703314,0
336798112.0,1.000670543,15432.08723,28550800000000.0,-1.596476025,4212133.64,28568900000000.0,-1.595739507,4214049.165,0.011274434,0.33109265,0.33109265,0.083714431,0
336842311.3,1.000670548,15433.31298,28551800000000.0,-1.596398065,4212270.5,28569900000000.0,-1.595661515,4214186.054,0.011277091,0.331125849,0.331125849,0.083725551,0
282798398.9,1.000675081,14282.97806,28338700000000.0,-1.547865586,4216816.555,28356300000000.0,-1.54716358,4218662.243,0.011342538,0.333333341,0.333333341,0.084373245,1
462365827.2,1.000856475,18646.27981,30997800000000.0,-1.407691585,4546144.97,31019200000000.0,-1.406871705,4548380.618,0.019988144,0.423076929,0.423076929,0.115458893,2
279739942.1,1.000675091,14222.17893,28330400000000.0,-1.54363852,4218917.336,28348000000000.0,-1.542939869,4220755.804,0.011339207,0.333333342,0.333333342,0.084415116,1
276579476.7,1.000675095,14158.90339,28322600000000.0,-1.539091268,4221289.168,28340200000000.0,-1.53839621,4223125.305,0.011336068,0.333333342,0.333333342,0.084462506,1
336886529.1,1.000670625,15434.53883,28552800000000.0,-1.596320097,4212407.361,28570900000000.0,-1.595583517,4214322.944,0.011279748,0.331159082,0.331159082,0.083736673,0
464641555.7,1.000859778,18700.5862,31036300000000.0,-1.404748057,4551351.718,31057800000000.0,-1.403926748,4553598.796,0.020167798,0.424710432,0.424710432,0.116037653,2
273321099.5,1.000675121,14093.14695,28315400000000.0,-1.534199605,4223963.642,28332900000000.0,-1.53350838,4225791.211,0.011333166,0.333333349,0.333333349,0.084515824,1
393147173.7,1.000754957,16933.22305,29735800000000.0,-1.504544047,4374469.804,29755400000000.0,-1.503768878,4376545.141,0.014893944,0.372881364,0.372881364,0.097915925,2
466936228.6,1.000863102,18755.03661,31074900000000.0,-1.401793782,4556586.151,31096400000000.0,-1.400971036,4558833.718,0.020349735,0.426356595,0.426356595,0.116621328,2
336930876.7,1.000670709,15435.76765,28553800000000.0,-1.596242123,4212544.225,28571900000000.0,-1.59550551,4214459.837,0.011282407,0.331192325,0.331192325,0.083747797,0
469249952.1,1.000866462,18809.80906,31113600000000.0,-1.398828678,4561819.382,31135200000000.0,-1.398004484,4564078.396,0.020533993,0.428015571,0.428015571,0.117209795,2
471583233.9,1.000869849,18865.13414,31152500000000.0,-1.395852654,4567097.203,31174100000000.0,-1.395027002,4569356.691,0.02072061,0.429687505,0.429687505,0.117803727,2
336975146.3,1.000670718,15436.9941,28554800000000.0,-1.596164141,4212681.088,28572900000000.0,-1.595427497,4214596.728,0.011285066,0.331225541,0.331225541,0.083758923,0
269958462.6,1.000675126,14024.68156,28308800000000.0,-1.528949997,4226929.875,28326300000000.0,-1.528262864,4228748.234,0.011330521,0.33333335,0.33333335,0.084574965,1
266497896.8,1.000675113,13953.50791,28303000000000.0,-1.523317558,4230224.55,28320400000000.0,-1.522634777,4232038.239,0.011328178,0.333333342,0.333333342,0.084640765,1
473936034.5,1.000873249,18920.6133,31191500000000.0,-1.392865624,4572371.424,31213200000000.0,-1.392038505,4574631.351,0.020909626,0.431372554,0.431372554,0.118402223,2
262930952.5,1.000675125,13879.37437,28298000000000.0,-1.517286449,4233854.035,28315400000000.0,-1.516608301,4235657.13,0.011326163,0.333333344,0.333333344,0.084713143,1
337019465.4,1.000670839,15438.22145,28555800000000.0,-1.596086151,4212817.952,28573900000000.0,-1.595349476,4214733.621,0.011287726,0.331258814,0.331258814,0.083770052,0
331793782.5,1.000675044,15263.37597,28566200000000.0,-1.59003185,4215459.669,28584300000000.0,-1.589294541,4217383.305,0.011433717,0.333333361,0.333333361,0.084347666,1
476308819.6,1.000876688,18976.37426,31230700000000.0,-1.389867498,4577679.262,31252500000000.0,-1.389038903,4579950.671,0.021101079,0.433070871,0.433070871,0.119006592,2
478701601.5,1.000880147,19032.63936,31270000000000.0,-1.386858187,4582996.704,31291800000000.0,-1.386028104,4585268.534,0.021295012,0.434782612,0.434782612,0.119615701,2
481114689.3,1.00088364,19089.07856,31309500000000.0,-1.383837599,4588333.433,31331400000000.0,-1.383006018,4590616.763,0.021491464,0.436507941,0.436507941,0.120230439,2
337063748.6,1.000670914,15439.44751,28556800000000.0,-1.596008155,4212954.814,28574900000000.0,-1.595271449,4214870.512,0.011290387,0.331292072,0.331292072,0.083781183,0
483548453.2,1.000887162,19145.8112,31349100000000.0,-1.380805641,4593694.084,31371000000000.0,-1.379972553,4595977.814,0.02169048,0.438247016,0.438247016,0.120850413,2
259266619.0,1.000675127,13802.37807,28293900000000.0,-1.510831239,4237842.016,28311300000000.0,-1.510158003,4239638.816,0.011324523,0.333333342,0.333333342,0.084792776,1
337108028.6,1.000670938,15440.67312,28557800000000.0,-1.595930152,4213091.679,28575900000000.0,-1.595193414,4215007.405,0.011293049,0.331325319,0.331325319,0.083792316,0
337152360.2,1.000671023,15441.89969,28558800000000.0,-1.595852141,4213228.543,28576900000000.0,-1.595115372,4215144.298,0.011295712,0.331358594,0.331358594,0.083803451,0
486002969.5,1.000890699,19203.15463,31388900000000.0,-1.37776222,4599060.811,31410800000000.0,-1.376927614,4601356.057,0.021892102,0.440000005,0.440000005,0.1214758,2
